Gene	Direction
TDP2	Positive
TICAM1	Positive
TIGD3	Positive
TIGD5	Positive
TLE2	Positive
TMEM109	Positive
TMEM132E	Positive
TMEM200B	Positive
TMEM55A	Positive
TMEM81	Positive
TMOD1	Positive
TMPPE	Positive
TNIP1	Positive
TRAF7	Positive
TRIM25	Positive
TSC22D3	Positive
TTC39B	Positive
TTI1	Positive
UBAP1	Positive
UBE3B	Positive
UBXN10	Positive
UHRF1BP1	Positive
UPP1	Positive
USF2	Positive
USP28	Positive
USP45	Positive
VAMP1	Positive
WDR33	Positive
XKR6	Positive
ZADH2	Positive
ZBTB16	Positive
ZBTB21	Positive
ZBTB34	Positive
ZBTB38	Positive
ZBTB43	Positive
ZC3H7B	Positive
ZDHHC5	Positive
ZKSCAN5	Positive
ZNF304	Positive
ZNF324	Positive
ZNF398	Positive
ZNF574	Positive
ZNF597	Positive
ZNF641	Positive
ZNF740	Positive
ZNF805	Positive
ZNFX1	Positive
ZSWIM1	Positive
ZYX	Positive
ACTG1	AllGene
ADAMTS19	AllGene
AK7	AllGene
AMIGO2	AllGene
ANKRD50	AllGene
ANKRD6	AllGene
ARHGEF28	AllGene
ARMC10	AllGene
ARPC5	AllGene
ARPP19	AllGene
ATP2C2	AllGene
B3GNT2	AllGene
BHMT	AllGene
BRMS1L	AllGene
C10orf11	AllGene
C4orf50	AllGene
CACNA1H	AllGene
CACNA1S	AllGene
CARD11	AllGene
CARMIL3	AllGene
CASK	AllGene
CCBE1	AllGene
CCDC112	AllGene
CCDC90B	AllGene
CDC42SE2	AllGene
CHCHD6	AllGene
COG5	AllGene
CPEB2	AllGene
CPLX3	AllGene
CPNE6	AllGene
CPNE7	AllGene
CXADR	AllGene
CXXC4	AllGene
DENND2C	AllGene
DENR	AllGene
DNAJC25-GNG10	AllGene
DPYD	AllGene
DPYSL3	AllGene
DSEL	AllGene
DYDC2	AllGene
ENOX1	AllGene
ETNK2	AllGene
FAM65B	AllGene
FARP1	AllGene
FIBCD1	AllGene
FILIP1	AllGene
GABRA5	AllGene
GABRQ	AllGene
GALNT10	AllGene
GLT8D2	AllGene
GMFB	AllGene
GNB4	AllGene
GNG10	AllGene
GPM6A	AllGene
GPR160	AllGene
GRIN3A	AllGene
GRM3	AllGene
GRM8	AllGene
HINT3	AllGene
HRASLS	AllGene
HSBP1	AllGene
ISOC1	AllGene
KCNH7	AllGene
KCNK13	AllGene
KIRREL2	AllGene
L3MBTL4	AllGene
LINC01420	AllGene
LMO3	AllGene
LRP1B	AllGene
LRRC3	AllGene
LRRC7	AllGene
MAPK15	AllGene
MARCKS	AllGene
MEPE	AllGene
MFSD14A	AllGene
MMD	AllGene
MRPL23	AllGene
MSANTD3-TMEFF1	AllGene
MYO16	AllGene
NCAM2	AllGene
NELFE	AllGene
NKAIN4	AllGene
NMNAT1	AllGene
NPHS1	AllGene
NPY	AllGene
NPY1R	AllGene
NRAS	AllGene
NTSR1	AllGene
NUDT11	AllGene
PACRG	AllGene
PCDH10	AllGene
PCDH15	AllGene
PCDH20	AllGene
PCED1B	AllGene
PCYT1B	AllGene
PDGFC	AllGene
PDGFRA	AllGene
PGRMC1	AllGene
PI4K2B	AllGene
PLA2G12A	AllGene
PLPPR3	AllGene
PPP3R2	AllGene
PPP4R4	AllGene
PRMT2	AllGene
PROKR2	AllGene
PRR29	AllGene
PSENEN	AllGene
PTGER3	AllGene
PTPRA	AllGene
RAB40B	AllGene
RAP2B	AllGene
RASAL1	AllGene
RCN2	AllGene
RFK	AllGene
RILPL1	AllGene
RSPO3	AllGene
RSU1	AllGene
SCD5	AllGene
SCFD1	AllGene
SCN7A	AllGene
SCN9A	AllGene
SLC39A10	AllGene
SNCA	AllGene
SOX11	AllGene
SOX5	AllGene
SQLE	AllGene
SSTR1	AllGene
STUM	AllGene
STX12	AllGene
SUB1	AllGene
SUMO3	AllGene
SYT17	AllGene
TAF9B	AllGene
TBCA	AllGene
TERF1	AllGene
TEX15	AllGene
TINCR	AllGene
TKFC	AllGene
TLK1	AllGene
TMEFF1	AllGene
TMEFF2	AllGene
TMEM263	AllGene
TMSB10	AllGene
TNNT1	AllGene
TOX3	AllGene
TPM3	AllGene
TRABD2A	AllGene
TRAPPC6A	AllGene
TTC6	AllGene
TUBA1A	AllGene
TUBB2A	AllGene
TUBB2B	AllGene
TXN	AllGene
UBE2D2	AllGene
USP12	AllGene
USP14	AllGene
VAT1L	AllGene
VHL	AllGene
VSTM2B	AllGene
WDR17	AllGene
WDR31	AllGene
WNT16	AllGene
ZCCHC12	AllGene
ZCCHC17	AllGene
ZDHHC12	AllGene
ZNF626	AllGene
ZNF69	AllGene
AARS	AllGene
ABCF2	AllGene
ABT1	AllGene
ACAN	AllGene
ACTR1B	AllGene
ACVR1C	AllGene
ADAM9	AllGene
ADAMTSL1	AllGene
ADCY9	AllGene
AFTPH	AllGene
ALDH1A3	AllGene
ANK1	AllGene
ANKH	AllGene
ANKRD9	AllGene
ANKS6	AllGene
ARG2	AllGene
ARHGAP39	AllGene
ARID5B	AllGene
ATG16L1	AllGene
AVPI1	AllGene
BAG5	AllGene
BEND6	AllGene
BID	AllGene
BMP4	AllGene
C18orf25	AllGene
C2orf42	AllGene
C3orf18	AllGene
C4orf33	AllGene
C6orf47	AllGene
C9orf72	AllGene
CAMK2G	AllGene
CARS	AllGene
CCDC136	AllGene
CCDC40	AllGene
CCR10	AllGene
CD274	AllGene
CDON	AllGene
CERK	AllGene
CLEC16A	AllGene
CNBD2	AllGene
COL5A1	AllGene
CRHR2	AllGene
CYB5R4	AllGene
DCAF1	AllGene
DCLRE1A	AllGene
DCP1A	AllGene
DCPS	AllGene
DEXI	AllGene
DGCR14	AllGene
DKK1	AllGene
DNAJC16	AllGene
DTX3	AllGene
DUSP5	AllGene
EMILIN3	AllGene
EPRS	AllGene
ERRFI1	AllGene
ESRRA	AllGene
ESRRG	AllGene
ETV6	AllGene
FAF1	AllGene
FAM156B	AllGene
FAM43A	AllGene
FAM83D	AllGene
FASTKD5	AllGene
FBLN7	AllGene
FBXO31	AllGene
FBXO42	AllGene
FES	AllGene
FHDC1	AllGene
FMN1	AllGene
FNDC4	AllGene
FOXO3	AllGene
FRAT1	AllGene
GFER	AllGene
GLCCI1	AllGene
GLIPR1	AllGene
GOSR1	AllGene
GPR161	AllGene
GREB1	AllGene
HDAC4	AllGene
HERPUD1	AllGene
HINFP	AllGene
HIST1H3A	AllGene
HIST1H3D	AllGene
IER5	AllGene
IFFO2	AllGene
IFNLR1	AllGene
IL15RA	AllGene
INPP5A	AllGene
IPO7	AllGene
IRS1	AllGene
JADE1	AllGene
JAK1	AllGene
JARID2	AllGene
JDP2	AllGene
JMJD6	AllGene
KCNAB3	AllGene
KCNC3	AllGene
KCNJ11	AllGene
KCNT1	AllGene
KDM5C	AllGene
KLF9	AllGene
KLHL17	AllGene
LACE1	AllGene
LRRC59	AllGene
LURAP1L	AllGene
LUZP1	AllGene
MAFB	AllGene
MAGI3	AllGene
MAP4K2	AllGene
MFHAS1	AllGene
MGST2	AllGene
MIOS	AllGene
MPP1	AllGene
MRGBP	AllGene
MSL2	AllGene
MTCL1	AllGene
MXD1	AllGene
NCOA3	AllGene
NEXN	AllGene
NKX3-1	AllGene
NPPC	AllGene
NR2F6	AllGene
NR3C1	AllGene
NR3C2	AllGene
NRBP1	AllGene
NT5M	AllGene
NUP153	AllGene
OSBPL6	AllGene
OXA1L	AllGene
PANX2	AllGene
PAPD7	AllGene
PDIK1L	AllGene
PELI3	AllGene
PHF8	AllGene
PHKG2	AllGene
PIK3CA	AllGene
PIK3R3	AllGene
PIM1	AllGene
PKD1	AllGene
PLXDC1	AllGene
PPL	AllGene
PPTC7	AllGene
PRDM11	AllGene
PVALB	AllGene
PXYLP1	AllGene
RAB37	AllGene
RCN3	AllGene
RET	AllGene
RGPD4	AllGene
RNF111	AllGene
RNF133	AllGene
RNF168	AllGene
RNF4	AllGene
RORA	AllGene
RP11-298A10.1	AllGene
RPA1	AllGene
SCN1B	AllGene
SCRT1	AllGene
SCRT2	AllGene
SEMA6D	AllGene
SEMA7A	AllGene
SESN2	AllGene
SETD7	AllGene
SHD	AllGene
SIX4	AllGene
SKIDA1	AllGene
SLC19A2	AllGene
SLC25A25	AllGene
SLC25A37	AllGene
SLC25A5	AllGene
SLC35A4	AllGene
SLC38A1	AllGene
SLC38A2	AllGene
SLC39A14	AllGene
SLC45A4	AllGene
SLC4A8	AllGene
SMCR8	AllGene
SMG9	AllGene
SNRK	AllGene
SORL1	AllGene
SPAG1	AllGene
SRPRA	AllGene
SRXN1	AllGene
STAC2	AllGene
STAMBPL1	AllGene
STARD5	AllGene
STAT4	AllGene
STC2	AllGene
STK11	AllGene
STK26	AllGene
STK38L	AllGene
STRADA	AllGene
STS	AllGene
STX5	AllGene
SUPT16H	AllGene
TADA2B	AllGene
TBC1D8	AllGene
TCAF2	AllGene
TDP2	AllGene
TICAM1	AllGene
TIGD3	AllGene
TIGD5	AllGene
TLE2	AllGene
TMEM109	AllGene
TMEM132E	AllGene
TMEM200B	AllGene
TMEM55A	AllGene
TMEM81	AllGene
TMOD1	AllGene
TMPPE	AllGene
TNIP1	AllGene
TRAF7	AllGene
TRIM25	AllGene
TSC22D3	AllGene
TTC39B	AllGene
TTI1	AllGene
UBAP1	AllGene
UBE3B	AllGene
UBXN10	AllGene
UHRF1BP1	AllGene
UPP1	AllGene
USF2	AllGene
USP28	AllGene
USP45	AllGene
VAMP1	AllGene
WDR33	AllGene
XKR6	AllGene
ZADH2	AllGene
ZBTB16	AllGene
ZBTB21	AllGene
ZBTB34	AllGene
ZBTB38	AllGene
ZBTB43	AllGene
ZC3H7B	AllGene
ZDHHC5	AllGene
ZKSCAN5	AllGene
ZNF304	AllGene
ZNF324	AllGene
ZNF398	AllGene
ZNF574	AllGene
ZNF597	AllGene
ZNF641	AllGene
ZNF740	AllGene
ZNF805	AllGene
ZNFX1	AllGene
ZSWIM1	AllGene
ZYX	AllGene
AARS	TopRsq
AMIGO2	TopRsq
ANKH	TopRsq
ANKRD6	TopRsq
ATG16L1	TopRsq
AVPI1	TopRsq
BAG5	TopRsq
C18orf25	TopRsq
CACNA1H	TopRsq
CCBE1	TopRsq
CPNE7	TopRsq
CRHR2	TopRsq
DCLRE1A	TopRsq
DPYD	TopRsq
DSEL	TopRsq
ETV6	TopRsq
FAM65B	TopRsq
FMN1	TopRsq
FNDC4	TopRsq
FOXO3	TopRsq
GABRA5	TopRsq
GABRQ	TopRsq
GPR161	TopRsq
HIST1H3A	TopRsq
JADE1	TopRsq
JDP2	TopRsq
KCNAB3	TopRsq
KCNK13	TopRsq
KLF9	TopRsq
LMO3	TopRsq
LUZP1	TopRsq
MAPK15	TopRsq
MMD	TopRsq
MPP1	TopRsq
MTCL1	TopRsq
NR3C1	TopRsq
OSBPL6	TopRsq
PCDH20	TopRsq
PGRMC1	TopRsq
PIK3CA	TopRsq
PLPPR3	TopRsq
PLXDC1	TopRsq
PVALB	TopRsq
RAB37	TopRsq
SCN1B	TopRsq
SCN7A	TopRsq
SCN9A	TopRsq
SCRT1	TopRsq
SCRT2	TopRsq
SEMA6D	TopRsq
SEMA7A	TopRsq
SHD	TopRsq
SKIDA1	TopRsq
STAC2	TopRsq
STARD5	TopRsq
STAT4	TopRsq
STUM	TopRsq
SYT17	TopRsq
TLK1	TopRsq
TMEM263	TopRsq
TNNT1	TopRsq
TTC6	TopRsq
VAMP1	TopRsq
VAT1L	TopRsq
ZADH2	TopRsq
ZCCHC12	TopRsq
ZYX	TopRsq
AAAS	CTL
AAK1	CTL
AARD	CTL
AARS	CTL
AATK	CTL
ABCA10	CTL
ABCA6	CTL
ABCB6	CTL
ABCB7	CTL
ABCB9	CTL
ABCC1	CTL
ABCC4	CTL
ABCF2	CTL
ABCF3	CTL
ABCG4	CTL
ABHD16A	CTL
ABHD2	CTL
ABI1	CTL
ABRACL	CTL
ABT1	CTL
ABTB2	CTL
ACADL	CTL
ACADVL	CTL
ACAN	CTL
ACD	CTL
ACSBG1	CTL
ACSF3	CTL
ACSL3	CTL
ACSL6	CTL
ACSM5	CTL
ACTC1	CTL
ACTG1	CTL
ACTN2	CTL
ACTR1B	CTL
ACTR3B	CTL
ACVR1C	CTL
ACVR2B	CTL
ADAM22	CTL
ADAM23	CTL
ADAM28	CTL
ADAM9	CTL
ADAMTS16	CTL
ADAMTS17	CTL
ADAMTS19	CTL
ADAMTS2	CTL
ADAMTS3	CTL
ADAMTS5	CTL
ADAMTS7	CTL
ADAMTSL1	CTL
ADAMTSL2	CTL
ADAMTSL3	CTL
ADAP1	CTL
ADAT3	CTL
ADCY2	CTL
ADCY7	CTL
ADCY9	CTL
ADCYAP1R1	CTL
ADGRB3	CTL
ADGRF5	CTL
ADGRG1	CTL
ADGRL3	CTL
ADGRV1	CTL
ADH5	CTL
ADI1	CTL
ADIPOR1	CTL
ADIRF	CTL
ADNP2	CTL
ADO	CTL
ADORA1	CTL
ADPRHL1	CTL
ADRA2A	CTL
ADRA2C	CTL
ADRB1	CTL
ADRB2	CTL
ADSL	CTL
AEN	CTL
AFAP1L2	CTL
AFDN	CTL
AFF1	CTL
AFTPH	CTL
AGAP2	CTL
AGBL1	CTL
AGO1	CTL
AGPAT2	CTL
AGPAT3	CTL
AHI1	CTL
AHRR	CTL
AIF1	CTL
AIFM1	CTL
AK7	CTL
AKAP7	CTL
AKIRIN1	CTL
AKR7A2	CTL
ALAS1	CTL
ALDH1A3	CTL
ALDH1B1	CTL
ALDH2	CTL
ALDH9A1	CTL
ALK	CTL
ALKBH1	CTL
ALKBH8	CTL
ALOX5	CTL
ALOXE3	CTL
ALPK3	CTL
ALPL	CTL
AMD1	CTL
AMDHD2	CTL
AMER1	CTL
AMIGO2	CTL
AMMECR1	CTL
AMMECR1L	CTL
AMZ1	CTL
ANAPC4	CTL
ANK1	CTL
ANK2	CTL
ANK3	CTL
ANKFN1	CTL
ANKH	CTL
ANKRD16	CTL
ANKRD29	CTL
ANKRD34C	CTL
ANKRD50	CTL
ANKRD55	CTL
ANKRD6	CTL
ANKRD62	CTL
ANKRD9	CTL
ANKS6	CTL
ANO3	CTL
ANOS1	CTL
ANP32E	CTL
AOAH	CTL
AP1M1	CTL
AP1S1	CTL
AP5M1	CTL
AP5Z1	CTL
APAF1	CTL
APBA1	CTL
APC	CTL
API5	CTL
APOB	CTL
APOC1	CTL
APOE	CTL
APOL2	CTL
APPBP2	CTL
APPL1	CTL
APPL2	CTL
AQP4	CTL
AQR	CTL
AR	CTL
ARCN1	CTL
ARFGEF2	CTL
ARFGEF3	CTL
ARG2	CTL
ARHGAP12	CTL
ARHGAP15	CTL
ARHGAP18	CTL
ARHGAP26	CTL
ARHGAP27	CTL
ARHGAP28	CTL
ARHGAP31	CTL
ARHGAP35	CTL
ARHGAP36	CTL
ARHGAP39	CTL
ARHGAP4	CTL
ARHGAP6	CTL
ARHGAP9	CTL
ARHGDIG	CTL
ARHGEF10L	CTL
ARHGEF11	CTL
ARHGEF15	CTL
ARHGEF17	CTL
ARHGEF18	CTL
ARHGEF2	CTL
ARHGEF28	CTL
ARHGEF40	CTL
ARID1B	CTL
ARID2	CTL
ARID5B	CTL
ARIH2	CTL
ARL10	CTL
ARL15	CTL
ARL16	CTL
ARL2BP	CTL
ARL4C	CTL
ARL5B	CTL
ARL6IP4	CTL
ARL6IP5	CTL
ARMC10	CTL
ARMC2	CTL
ARMC3	CTL
ARMC5	CTL
ARMC6	CTL
ARMC8	CTL
ARMC9	CTL
ARMCX1	CTL
ARMCX2	CTL
ARMCX3	CTL
ARMT1	CTL
ARNTL	CTL
ARPC3	CTL
ARPC5	CTL
ARPP19	CTL
ARRB1	CTL
ARRB2	CTL
ARSG	CTL
ART3	CTL
AS3MT	CTL
ASAH2	CTL
ASAH2B	CTL
ASB3	CTL
ASB7	CTL
ASCC3	CTL
ASGR1	CTL
ASH1L	CTL
ASIC2	CTL
ASNSD1	CTL
ASS1	CTL
ASTN2	CTL
ASXL2	CTL
ASXL3	CTL
ATE1	CTL
ATG16L1	CTL
ATG2B	CTL
ATOH7	CTL
ATP13A3	CTL
ATP1A1	CTL
ATP2A2	CTL
ATP2A3	CTL
ATP2B2	CTL
ATP2B3	CTL
ATP2B4	CTL
ATP2C1	CTL
ATP2C2	CTL
ATP5A1	CTL
ATP6V0A2	CTL
ATP6V0A4	CTL
ATP6V1C2	CTL
ATP6V1G1	CTL
ATP6V1H	CTL
ATP8B1	CTL
ATP8B2	CTL
ATXN10	CTL
AURKA	CTL
AVPI1	CTL
AZIN1	CTL
B3GALNT1	CTL
B3GALT5	CTL
B3GAT2	CTL
B3GNT2	CTL
B3GNT5	CTL
BACH2	CTL
BAG5	CTL
BAIAP2	CTL
BAIAP3	CTL
BAK1	CTL
BAZ1B	CTL
BBS7	CTL
BCAN	CTL
BCAT1	CTL
BCHE	CTL
BCKDHB	CTL
BCKDK	CTL
BCL11A	CTL
BCL11B	CTL
BCL7A	CTL
BCL7C	CTL
BCOR	CTL
BEAN1	CTL
BEGAIN	CTL
BEND4	CTL
BEND6	CTL
BHLHE40	CTL
BHMT	CTL
BHMT2	CTL
BID	CTL
BLMH	CTL
BLNK	CTL
BMI1	CTL
BMP2	CTL
BMP3	CTL
BMP4	CTL
BMS1	CTL
BOD1L1	CTL
BPHL	CTL
BRAF	CTL
BRAP	CTL
BRD7	CTL
BRD8	CTL
BRICD5	CTL
BRK1	CTL
BRMS1L	CTL
BRPF1	CTL
BRWD3	CTL
BSPRY	CTL
BTBD11	CTL
BTBD9	CTL
BTNL9	CTL
C10orf107	CTL
C10orf11	CTL
C11orf45	CTL
C11orf68	CTL
C11orf80	CTL
C11orf95	CTL
C12orf45	CTL
C12orf76	CTL
C15orf61	CTL
C16orf45	CTL
C16orf52	CTL
C17orf107	CTL
C17orf75	CTL
C17orf89	CTL
C17orf96	CTL
C18orf25	CTL
C18orf8	CTL
C19orf12	CTL
C1orf106	CTL
C1orf122	CTL
C1orf145	CTL
C1orf21	CTL
C1orf226	CTL
C1orf50	CTL
C1QL1	CTL
C1QL3	CTL
C1QTNF1	CTL
C1QTNF3	CTL
C20orf194	CTL
C20orf27	CTL
C2CD4C	CTL
C2orf16	CTL
C2orf42	CTL
C2orf69	CTL
C2orf80	CTL
C3orf18	CTL
C3orf52	CTL
C3orf58	CTL
C3orf70	CTL
C4orf33	CTL
C4orf50	CTL
C5orf24	CTL
C5orf49	CTL
C5orf56	CTL
C6orf1	CTL
C6orf106	CTL
C6orf141	CTL
C6orf47	CTL
C7orf31	CTL
C8orf34	CTL
C9orf116	CTL
C9orf47	CTL
C9orf72	CTL
CA10	CTL
CA11	CTL
CA7	CTL
CAB39	CTL
CABP1	CTL
CABP7	CTL
CACHD1	CTL
CACNA1E	CTL
CACNA1H	CTL
CACNA1S	CTL
CACNA2D2	CTL
CACNB2	CTL
CACNB4	CTL
CACNG2	CTL
CACNG3	CTL
CACNG4	CTL
CACNG5	CTL
CADM4	CTL
CADPS2	CTL
CALB2	CTL
CALCOCO1	CTL
CALU	CTL
CAMK2D	CTL
CAMK2G	CTL
CAMK2N2	CTL
CAMKK1	CTL
CAMSAP1	CTL
CAMTA1	CTL
CAND1	CTL
CANT1	CTL
CAP1	CTL
CAPG	CTL
CAPZB	CTL
CARD11	CTL
CARD16	CTL
CARHSP1	CTL
CARMIL3	CTL
CARS	CTL
CASC4	CTL
CASK	CTL
CASP8AP2	CTL
CBFA2T3	CTL
CBFB	CTL
CBLN1	CTL
CC2D2B	CTL
CCBE1	CTL
CCDC112	CTL
CCDC115	CTL
CCDC12	CTL
CCDC127	CTL
CCDC136	CTL
CCDC138	CTL
CCDC148	CTL
CCDC152	CTL
CCDC157	CTL
CCDC170	CTL
CCDC171	CTL
CCDC177	CTL
CCDC178	CTL
CCDC186	CTL
CCDC189	CTL
CCDC25	CTL
CCDC28B	CTL
CCDC39	CTL
CCDC40	CTL
CCDC47	CTL
CCDC68	CTL
CCDC85A	CTL
CCDC85C	CTL
CCDC89	CTL
CCDC90B	CTL
CCNB1	CTL
CCNB1IP1	CTL
CCNI	CTL
CCNY	CTL
CCNYL1	CTL
CCR10	CTL
CCSER2	CTL
CD101	CTL
CD151	CTL
CD244	CTL
CD274	CTL
CD302	CTL
CD36	CTL
CD6	CTL
CD63	CTL
CD83	CTL
CD84	CTL
CDADC1	CTL
CDC14A	CTL
CDC34	CTL
CDC42BPA	CTL
CDC42BPB	CTL
CDC42EP3	CTL
CDC42SE2	CTL
CDC5L	CTL
