logFC	AveExpr	t	P.Value	adj.P.Val	B
GOT1	-0.23026602091236	7.65871231612996	-10.3150913023005	3.7963314747503e-23	1.77171869671616e-20	41.7762731036947
PARD6A	-0.193368428102977	4.58156089762758	-10.2673719051571	5.80059461191238e-23	2.60683018596092e-20	41.3611319553746
NDRG4	-0.170192864140979	9.96250368292947	-10.2416875824758	7.28318277801491e-23	3.15621927958689e-20	41.1386806719075
PGP	-0.172112384958504	5.78528606256805	-10.1816319063696	1.23816665684463e-22	5.18066007384577e-20	40.6199202448634
MAPK9	-0.153187189177874	7.86698615193251	-10.1629838792926	1.45930758047588e-22	5.80103552894702e-20	40.4560227330365
LRP8	-0.228663600248092	6.77854875676112	-10.1612276908475	1.48205127243578e-22	5.80103552894702e-20	40.44308448895
FAM107A	0.392790325223196	9.33545149296935	10.1227931042346	2.07801994751032e-22	7.87959188846569e-20	40.1126279271206
PML	0.249064874360573	4.83320752479225	10.1176380000526	2.17424304553947e-22	7.99462579229574e-20	40.0666338532877
BTN3A1	0.298374380501858	3.96653143568363	10.1009569755847	2.51692984291712e-22	8.98247844528126e-20	39.9244069385282
PRKCE	-0.179590176781041	8.09661838769855	-10.0868209887165	2.84890978387248e-22	9.87676323357389e-20	39.8012607916865
GADD45G	0.44635259319917	2.27634117560083	10.0286636795224	4.73688691297741e-22	1.59659405005744e-19	39.3061122547556
ZNF117	0.210849201447123	5.55470991337664	9.99258354889224	6.48681651264427e-22	2.12732517741691e-19	38.9980862472755
LIMK1	-0.211271350308831	7.17568658999816	-9.97269010889937	7.71198353726017e-22	2.40171157649586e-19	38.8282814814736
BST2	0.504034082809092	3.29785640538376	9.97258005194709	7.71936306933726e-22	2.40171157649586e-19	38.8258277370845
ABCA1	0.398862260718321	6.07221584626692	9.95943053506962	8.65339838174824e-22	2.57485475412164e-19	38.7159027002564
ZNF516	0.249454944540233	5.36876771293622	9.95880837118438	8.70026742368446e-22	2.57485475412164e-19	38.7102793450404
CXCL16	0.33972306227965	2.96358964264117	9.95415975051044	9.05851912912319e-22	2.61704931220907e-19	38.6693730388392
PABPC1	0.18097721790029	7.25995649516021	9.86692898769244	1.92676057204851e-21	5.43704948400853e-19	37.9317272281348
LYNX1	-0.254732349014835	8.31065421317548	-9.84766844106085	2.27469450883402e-21	6.27298708413455e-19	37.7692849508746
HMOX1	0.5210614524343	2.74301184671622	9.8232458308551	2.80670336348348e-21	7.28882584623575e-19	37.5629841280699
MAML2	0.281719934482451	5.05684656620872	9.82285095129008	2.81624835982495e-21	7.28882584623575e-19	37.5599037992538
RNF157	-0.21904903214005	7.87438640688179	-9.82256157047707	2.82326367869689e-21	7.28882584623575e-19	37.5577342814317
SERP1	0.208020492041142	6.71629458328255	9.7909451727763	3.70393848160672e-21	9.25255770155171e-19	37.2921243875632
DIRAS1	-0.260989397572489	7.31555214342769	-9.7899276985953	3.7364045440583e-21	9.25255770155171e-19	37.2834599767417
ATP5A1	-0.155604211972	8.88909769074484	-9.77962656476291	4.08140897947257e-21	9.77769955413686e-19	37.1972379641841
DDHD2	-0.147997345294653	7.56368094678217	-9.77842962254502	4.12349100923052e-21	9.77769955413686e-19	37.1872092499164
FBXO9	-0.203103593257106	6.65446459271377	-9.7765564625985	4.1902124346062e-21	9.77769955413686e-19	37.1710775096561
PGAM2	0.405684482856802	1.99539697248601	9.76419058400584	4.6583470857914e-21	1.06649780262251e-18	37.0675895895406
MOB3C	0.269626327515288	3.89475011192072	9.75967434349772	4.84194606536214e-21	1.08800321402045e-18	37.0291898824284
DNM1L	-0.137548125480637	7.9211941921174	-9.72633332881389	6.43851047393206e-21	1.42045247437621e-18	36.7504562609033
TMEM179	-0.204481012995592	5.38717177179151	-9.68536095585088	9.12983343823622e-21	1.95954656033344e-18	36.4086758827446
ZNF468	0.218037706085691	3.61942146029831	9.68439683009731	9.20505636550239e-21	1.95954656033344e-18	36.4007685658709
PLTP	0.3707243308272	5.3428240046262	9.67678321547559	9.82107207809175e-21	2.0498062815869e-18	36.3372167652238
PLSCR1	0.482153678728106	3.66936237982675	9.67505002604724	9.96691697821221e-21	2.0498062815869e-18	36.3223969993836
SYT12	-0.327138498539531	6.14975227901909	-9.664915711843	1.08637005567751e-20	2.1435312221809e-18	36.2387271638633
IFITM3	0.631327632803242	4.77711880701567	9.66441603662206	1.09099286183404e-20	2.1435312221809e-18	36.2345214424285
CCDC25	-0.162997453064049	6.10413327767669	-9.66395658708044	1.09526072008584e-20	2.1435312221809e-18	36.2308148485685
FBLN7	-0.457854458873046	4.15633129332234	-9.65458019817031	1.1860650092952e-20	2.28439886076e-18	36.1528146087258
SERPING1	0.369567881992442	4.2149193895142	9.6351365454041	1.39882075277565e-20	2.63570616337197e-18	35.9911960409313
TMCO4	0.295175922220337	1.80678674814338	9.63403825776934	1.41190786730821e-20	2.63570616337197e-18	35.9821695729625
C21orf2	-0.13841654917844	5.18397705606853	-9.61882338971031	1.60619681409888e-20	2.95296850640542e-18	35.8559730050212
TYMP	0.678463677216054	2.42883687517093	9.60585064536597	1.79262488961481e-20	3.24652394187852e-18	35.7483985613019
CACNB1	-0.227284729344854	6.9639604833607	-9.59131528721695	2.02707274442991e-20	3.61713245307538e-18	35.6281410010208
PTPN13	0.204702409453961	7.05184850483858	9.58907567381245	2.06580314398521e-20	3.63281961581399e-18	35.6096090398934
BTN3A3	0.296995466075905	3.77210204917245	9.56932319241094	2.44074447143048e-20	4.23085620233393e-18	35.4463829743337
MGST1	0.503432214955312	4.1171171276201	9.55892167283516	2.66453699951795e-20	4.55373126086631e-18	35.3604989884131
LRRC8B	-0.164749578132048	8.00584891553503	-9.55255723500399	2.81137691227557e-20	4.73795103521553e-18	35.308105639067
NNT	-0.117705034283635	7.49599322924664	-9.54223687871618	3.06671419492129e-20	5.09746712892808e-18	35.2229509284972
RAB13	0.32238821882811	3.06555996337956	9.53376859706703	3.29329100925181e-20	5.40010717652183e-18	35.1532606325917
IFI16	0.425427863664098	4.41687255226575	9.5170529914236	3.79033347876651e-20	6.13225419084704e-18	35.0157101271319
WEE1	0.342425335625593	1.76393597793885	9.50804102243188	4.08844238922793e-20	6.52752104616997e-18	34.9416372711753
HIST2H2BE	0.288831143326787	4.98454129897868	9.50389917856561	4.23313326669184e-20	6.67075831922581e-18	34.907642496034
CYC1	-0.12910846961738	6.27760381404158	-9.4986832317547	4.42258434074064e-20	6.79915789513119e-18	34.8646336919616
VIM	0.5207152170668	7.40199799887915	9.49857290470735	4.42668100968654e-20	6.79915789513119e-18	34.8639113548339
PTGES2	-0.131850904204761	6.12727390370343	-9.48535206712307	4.94582761331932e-20	7.50158403250208e-18	34.7554112383062
TCEB3	0.103943068129639	5.85646000623005	9.48014117650025	5.16663461463671e-20	7.73974622395085e-18	34.7126379031968
ATP5G3	-0.143228700482919	6.41517721126047	-9.46251187380622	5.98860902532326e-20	8.86168072113079e-18	34.5681979842384
SLC27A4	-0.174676119352908	6.04723032716416	-9.45657420487207	6.29363908495055e-20	9.20084538033615e-18	34.5195891089929
APOL6	0.481619972463127	4.60565451549639	9.45270927203049	6.50040842729597e-20	9.38999474485825e-18	34.4880584904409
HIST1H1C	0.285022560162453	5.61739880152119	9.45056969589415	6.61775289615515e-20	9.44703689905254e-18	34.4703453411919
PRKAR1A	-0.110393254738466	9.21318146873865	-9.43850818592815	7.31961259578667e-20	1.03274627020088e-17	34.3718163839254
PXN	0.327439231997498	4.33289584916846	9.43053334162356	7.82367113144496e-20	1.09117730470061e-17	34.3066630627387
MAP3K9	-0.203304694776767	7.52178945363939	-9.41150011595124	9.16994059675315e-20	1.26440976364776e-17	34.1515042745114
PCSK1	-0.532650577245756	6.83877336092341	-9.40030364065126	1.0066603017561e-19	1.36494403025082e-17	34.0600436430362
SAMD9L	0.448417090362289	4.13298275547891	9.39962063920908	1.01240285744663e-19	1.36494403025082e-17	34.0547583707871
ANAPC15	-0.165627106750782	4.22315800855422	-9.38706687714604	1.12392414374257e-19	1.4986478637552e-17	33.9521866967634
UQCRFS1	-0.138938181670832	6.35881947281348	-9.36552732351947	1.34431825354244e-19	1.77303887918304e-17	33.7768957096056
TRIM37	-0.186414084173182	8.01775321234209	-9.35480895955148	1.46943456537624e-19	1.91721709852422e-17	33.6903551851664
FAM69B	-0.143236334802538	5.20406491311051	-9.34572540435639	1.58444886839098e-19	2.0452875073464e-17	33.6165085576996
PLEKHB2	-0.112894591188073	8.23343145179839	-9.3434746580916	1.61429924779915e-19	2.06188495503104e-17	33.5983415386796
DLD	-0.119631608314329	6.3844964901526	-9.32249550095412	1.9207429251449e-19	2.42773902642794e-17	33.4281268672101
TMEM151B	-0.206870826297305	8.0640157015481	-9.31937358166451	1.97102250405552e-19	2.46560691383605e-17	33.4030236601866
CSTB	0.187425777245041	4.19766713616449	9.31679844888234	2.01347534348807e-19	2.49301120590655e-17	33.3815785579141
PM20D2	0.211065231975383	4.22356130227233	9.31412163801232	2.05856448526481e-19	2.52309307719225e-17	33.3598539533504
ARFGEF2	-0.127842534164321	7.8046230528802	-9.3062958555242	2.19620041569553e-19	2.66486958440495e-17	33.2968976447639
CNTNAP1	-0.198391713238291	8.16039268056113	-9.3047365658775	2.22469419372711e-19	2.66867718439898e-17	33.2845816406387
TRIM4	0.173214501398145	4.42395170440682	9.30372766750845	2.24332514264625e-19	2.66867718439898e-17	33.2762821987425
GDPD2	0.355936732600235	1.99487763234869	9.2842765369308	2.63429542436357e-19	3.10335346400267e-17	33.1189830447384
GSK3B	-0.13101458168464	7.77541438280364	-9.27482156603056	2.84800760917314e-19	3.32285810862566e-17	33.043360666483
CSNK1G1	0.111618325387114	5.47414592001197	9.27183417726261	2.9190364551408e-19	3.37329412825509e-17	33.018530797152
CPVL	0.465895161931625	2.63099466270888	9.26036872754035	3.20830589761674e-19	3.67260224166807e-17	32.9262854569532
ABHD4	0.305562358571789	3.65755446126157	9.25744570479941	3.28648489070063e-19	3.72693529567864e-17	32.9027294480207
SMIM10L2B	-0.174030273162425	6.03655199139645	-9.2338878095516	3.98943227460802e-19	4.48220103889757e-17	32.7140745707684
HSP90B1	0.140816471812907	8.34857978014069	9.22738183460703	4.20853563368268e-19	4.68498819991795e-17	32.6618426083071
N4BP2	0.237253084503131	5.07787117207772	9.2236038462512	4.34119359167743e-19	4.78873118558309e-17	32.6306333520786
FGD4	0.199531490433984	6.38472300392922	9.20990803009197	4.85775278787732e-19	5.31026777730661e-17	32.52047351986
KAZALD1	-0.271344403827792	1.67035620791023	-9.2048942007007	5.06170170836757e-19	5.48381147583322e-17	32.4807379144664
STK17B	0.46545612456925	4.3720178052898	9.20269980195394	5.15361006998214e-19	5.53397385744807e-17	32.4620783846781
NAP1L5	-0.207154699468993	6.86551418391825	-9.18554630576548	5.93134995645148e-19	6.31324564663002e-17	32.3260276086252
OLFM1	-0.201025149245553	9.69546496937938	-9.18363848620824	6.02472819527039e-19	6.35687408012269e-17	32.3108703527222
IGFBP5	0.368568899030059	7.00094986500921	9.17479534486492	6.47692203061702e-19	6.77508378616439e-17	32.2391526710661
PDE4DIP	0.119522374876045	9.83730885040115	9.16874539861995	6.80548523225041e-19	7.05792801778859e-17	32.1906627881092
RFX2	0.227728721286519	3.49686178157157	9.16203365860176	7.18932367060854e-19	7.39281808636983e-17	32.1371151493255
SLC25A43	0.258387632952034	2.71060272782802	9.15555267086451	7.58028360596179e-19	7.72934128359162e-17	32.0847873315382
SLC25A3	-0.118100254346084	8.28557406127546	-9.13879776363036	8.69127237124021e-19	8.78832491271905e-17	31.9518564106283
RREB1	0.272192385221249	4.19797843245628	9.13611688961333	8.8834129050726e-19	8.9083745611695e-17	31.9306756315273
XPO1	0.135215570822151	7.7923256039017	9.13066209188273	9.28744065666663e-19	9.23719712524532e-17	31.8864528555556
GBA2	-0.124652767335094	7.11844363247523	-9.12627277179147	9.62571569801735e-19	9.49580766501972e-17	31.8514044673088
SLC16A9	0.454699818949246	3.86156309750115	9.12389023325286	9.81441085406564e-19	9.60387591155101e-17	31.8322136604434
MAP7D3	0.242389860930862	2.22570141259834	9.12136907414695	1.00180732249504e-18	9.72474404092383e-17	31.8131729528665
PTPRN2	-0.15944413261085	8.20575693968382	-9.11446496464223	1.05974617515655e-18	1.02055238804362e-16	31.7590146916389
ERBB2	0.305528769153177	4.25884047076654	9.11021189125831	1.09707620967515e-18	1.04818289198412e-16	31.7235324898481
SNAP25	-0.22919126446702	10.915607011068	-9.10338844740969	1.15970437541798e-18	1.09936350713452e-16	31.6708131805581
AFG3L2	-0.1108646185967	6.59064697341264	-9.08588336578969	1.33702549465997e-18	1.25763312807783e-16	31.5305194849045
GFPT2	0.198939954890635	4.60123323193363	9.07485027848952	1.46231408961277e-18	1.35732529258344e-16	31.4440215254226
RPS3	0.166483176900892	7.15678784742318	9.07390462383309	1.47357844602552e-18	1.35732529258344e-16	31.4352948207325
C10orf105	0.541845441398445	1.80747851442149	9.07365472701618	1.47656946284007e-18	1.35732529258344e-16	31.4318961746705
C4B	0.671026115583876	4.94543713453243	9.06108837294294	1.63498469623363e-18	1.49164694015781e-16	31.3332511427843
PARD3	0.29924483098394	5.26623998740288	9.05167879898779	1.76451401160113e-18	1.59780694154986e-16	31.2592193611013
RCAN2	-0.251676121380862	7.86216387390767	-9.03986467499781	1.94160817550091e-18	1.73926943015472e-16	31.1668737164717
PLPP5	0.189919415210417	3.78308387800089	9.0393694656235	1.94940367975146e-18	1.73926943015472e-16	31.1618674272718
RPL13A	0.159218579193396	8.288591982078	9.03812068708636	1.96919957513551e-18	1.74410712734995e-16	31.1525940522334
C4A	0.70805116541612	4.96989398590808	9.03242848487199	2.06198373214547e-18	1.81305149317776e-16	31.1058497650664
PALLD	0.338151394894044	5.84669854920625	9.03074171076534	2.09030042618576e-18	1.82472700513223e-16	31.0937415537005
SLC44A3	0.369810549728782	2.31584780194153	9.02024056939304	2.27544936046761e-18	1.97216446713672e-16	31.0094071134335
SMAD1	0.180525504421364	4.32555101472694	9.01415517377077	2.39007726843715e-18	2.05682252306499e-16	30.9624248741825
PLCB1	-0.211655620995219	8.88051010709082	-9.01288086254072	2.41479504422879e-18	2.06345937089241e-16	30.9537635012101
GLIS3	0.351746154733184	4.42413176164404	9.00800438591171	2.51174263081229e-18	2.13129266309624e-16	30.9137425093634
UBR3	-0.097013697652298	8.43433501271813	-8.99894578007397	2.70216842692666e-18	2.27695220085612e-16	30.8436724497281
RPH3A	-0.305260873448764	8.14927954204599	-8.99728969167726	2.73849544197502e-18	2.28438734359795e-16	30.8303177145507
UMPS	0.139421756336001	4.82563046064002	8.99683088719959	2.74864473516813e-18	2.28438734359795e-16	30.8258568382822
ZNF217	0.277726965201475	3.64091790448011	8.98378491143536	3.05334474060922e-18	2.52035952942532e-16	30.7239263136449
RP11-195F19.5	-0.216547883778047	3.49440917827866	-8.96872087248882	3.44694244248735e-18	2.82602699980686e-16	30.6037636186671
RAB8B	0.141829109702442	5.99516973225118	8.96151577515056	3.65255640958314e-18	2.97450466267663e-16	30.5479236322893
MT2A	0.449174909991335	4.73807707593206	8.96022188152424	3.69074541277822e-18	2.98556698924339e-16	30.5380257201824
COPS7A	-0.133216076239819	6.39751951259279	-8.95329042722276	3.9021540044231e-18	3.13567792646821e-16	30.4837636296966
TRIP6	0.267908618561097	3.64822432647528	8.94899343510966	4.0391834454014e-18	3.21149290504977e-16	30.4500177370225
PYCR1	0.196979454185554	3.1857733638161	8.94867779599947	4.04943476572124e-18	3.21149290504977e-16	30.4466264406341
NDUFV1	-0.106023377292977	7.38909938460241	-8.94540041896922	4.15741073572669e-18	3.25782967879027e-16	30.42083229609
TOP1	0.101381069127345	6.22881957143452	8.94457751808767	4.18496638511206e-18	3.25782967879027e-16	30.4149198570533
AFF4	0.101806560053716	8.14998073371244	8.94447511641644	4.1884080261355e-18	3.25782967879027e-16	30.4136226247855
PKNOX1	0.178259635966255	4.64434175713559	8.93788902542995	4.4157454927894e-18	3.41278062480934e-16	30.361051446147
REEP2	-0.154218530891758	7.29293169477958	-8.93635444493883	4.47044559019284e-18	3.43318903743038e-16	30.3508936929405
CCDC184	-0.321601445821116	5.19723813633185	-8.9337834403048	4.5635956096868e-18	3.48268359295218e-16	30.3312027455081
SLC45A1	-0.199780226648749	4.52114612022873	-8.92332270130683	4.96281621300414e-18	3.76367574553702e-16	30.2487544735711
FNDC3A	0.11588390610505	7.0734130624572	8.92154895449447	5.03385441012509e-18	3.79383785170546e-16	30.2333674915187
NUAK1	-0.201090165760843	8.22754810180597	-8.92038581884816	5.08098302667955e-18	3.8057190151685e-16	30.2265077160056
HAGH	-0.0987680271443824	6.35524077278935	-8.91309531091057	5.38648938119262e-18	4.00979522401173e-16	30.169772876538
C9orf69	-0.119683378926561	5.50723430143634	-8.91090858198829	5.48161737933275e-18	4.05572837078192e-16	30.1513239007631
IRF7	0.424515376503724	2.64010001267292	8.90928083714565	5.55350566697051e-18	4.07190119723759e-16	30.1399923139949
NME5	-0.208778951848312	3.77543239978209	-8.90889702982884	5.57059171535717e-18	4.07190119723759e-16	30.136210075678
USP37	0.128554886476958	5.62319812021087	8.90353839828565	5.81464702440266e-18	4.22484592779053e-16	30.0933790786307
ZNF28	0.182287396244702	3.91729451213942	8.89672146688643	6.14046156566167e-18	4.43502146653206e-16	30.0414237746129
HNRNPC	0.081902734433842	8.4673011593316	8.89366703621045	6.29224658089225e-18	4.51775858062406e-16	30.0180633970089
ATF6	0.0943581596626282	6.63327457368893	8.88022494177132	7.00556163612025e-18	4.97934009896286e-16	29.9119129588247
TRAPPC13	-0.122876095777077	5.32524604652335	-8.88001702405514	7.01720089766481e-18	4.97934009896286e-16	29.9086524885265
UQCRH	-0.163927205029013	6.50335823921826	-8.87785984848126	7.13909461126647e-18	5.03638221006438e-16	29.8941224620062
KDM3A	0.129975881575955	6.55055069175597	8.87395879447395	7.36487127613795e-18	5.16562705576057e-16	29.8623703605297
DDAH2	0.257001545155237	4.13302867129127	8.87244853358691	7.45416323950238e-18	5.19820785908747e-16	29.8508534968064
ENSA	-0.120493511369273	8.05919100561196	-8.86220088155319	8.088983361948e-18	5.6086699493644e-16	29.7720175963616
ROBO3	0.223058752096431	4.0443922494599	8.85514086670324	8.55716512188816e-18	5.89958190846539e-16	29.7161720020815
LZTS1	-0.248195185946538	6.65943320629001	-8.85336283057443	8.67924003531213e-18	5.94993777336031e-16	29.7027867561099
TSNAX	-0.12076032757236	5.97885513411733	-8.83761795264889	9.83821735002274e-18	6.70656906321213e-16	29.5803191954244
NDUFS1	-0.105820908592956	8.60533536449585	-8.83650317738765	9.92585101353614e-18	6.72850705018143e-16	29.5720140634494
KDM1B	0.185578259675068	5.29026052738651	8.83577710024768	9.98334352408591e-18	6.72988279562547e-16	29.5646537343288
CRH	-0.623688743789578	2.87644356076387	-8.83314916920932	1.01941967403836e-17	6.83405432308365e-16	29.5434722619733
CNN3	0.329800744603685	7.02754414214192	8.81289006313709	1.1974585617425e-17	7.98349570779314e-16	29.3880622599821
GNG12	0.351145559239916	4.97488419213147	8.79932168891397	1.333560391604e-17	8.84230699001256e-16	29.2828806463144
ZNF804B	-0.327114786050203	3.06250244646038	-8.7923478524228	1.40935719088397e-17	9.29409790988377e-16	29.2287973560921
RIMKLA	-0.232295665339815	6.80076199379123	-8.75960568062473	1.82619843403241e-17	1.19778874586753e-15	28.975424210499
GNA13	0.279439277994861	6.47456258597042	8.75072327749746	1.9589340676442e-17	1.2779411815481e-15	28.9058766664257
ASAP3	0.25161388598323	4.90639565669882	8.74753090265747	2.00893468144928e-17	1.30243016689192e-15	28.8815128480696
OTUD7A	-0.116032964111193	7.08655862726857	-8.74696428795947	2.01794026187309e-17	1.30243016689192e-15	28.8789844270149
HP1BP3	0.083158939224076	7.95511122302793	8.74627358522547	2.02897206998677e-17	1.30262153953542e-15	28.8714204785293
TNFRSF10D	0.405979975575796	1.70814892522177	8.74434895958277	2.06002757449496e-17	1.31559866257484e-15	28.8582752730936
SLC6A17	-0.228436127339667	8.34991224832093	-8.74295704149174	2.08277987149945e-17	1.31627348754033e-15	28.8484778081604
NT5C2	0.142053787153369	6.25494618640336	8.74304788095987	2.08128745856017e-17	1.31627348754033e-15	28.844503542673
NUPR1	0.470678524958847	2.93465001617099	8.73417445206435	2.23218154481715e-17	1.40338294636328e-15	28.7781074689925
CHRNB2	-0.20172452646038	6.64455141025052	-8.73233820659432	2.26473276420809e-17	1.41650862685057e-15	28.7665332279824
HERC5	0.352642549773897	2.79872401838725	8.72624090374966	2.37622422658308e-17	1.47289224975869e-15	28.7211963543495
C1R	0.445397941282048	4.03331169529543	8.72608437451017	2.37915675748065e-17	1.47289224975869e-15	28.7173185920917
CORT	-0.337618483674282	2.87663124723444	-8.70192623344601	2.87742536158211e-17	1.77231874809327e-15	28.5332076910487
SMAD4	0.154832942810763	6.57359739125932	8.70128210058412	2.89203510472042e-17	1.77232090710493e-15	28.5261597135937
MEX3A	0.252336361361457	1.94469625371362	8.69938478491267	2.93549621690435e-17	1.78991513044811e-15	28.5131672382929
SLC38A5	-0.427191010798171	3.49394591703545	-8.69822869355091	2.96229439721562e-17	1.79722401079072e-15	28.5017176671544
AGTRAP	0.334098954004928	2.6253174815249	8.69534037154108	3.03030748192914e-17	1.8293408450611e-15	28.4809965300461
DDIT4L	0.406322130982062	2.53500894085308	8.69242843656806	3.10043947121312e-17	1.86241250216337e-15	28.456600894272
FAH	0.257011900732237	3.09855189535668	8.69166278839207	3.11914454912646e-17	1.86441871719707e-15	28.4519574579143
KLHL6	0.369917289786145	1.9736904086627	8.6749306817523	3.55695647621688e-17	2.11569166090273e-15	28.3261062815492
SPR	0.31038056173501	3.07503060817861	8.6688422256739	3.73090813299067e-17	2.20833362369311e-15	28.2778711087549
SLC25A36	-0.113374379383848	6.94593055369356	-8.6661059872493	3.81179909297083e-17	2.24526068903437e-15	28.2557000627469
SMAD9	0.30412524960983	4.76755135704317	8.66405513996742	3.87356267516098e-17	2.27061881644461e-15	28.2405798875903
ACADSB	-0.0988784133832658	6.23682484267866	-8.66011926772916	3.99488072015586e-17	2.33047512780631e-15	28.211274064472
GALM	0.291664591568962	2.28680998403676	8.65442691579108	4.17701379172338e-17	2.42506628463021e-15	28.1666639349423
CD180	0.38982880240004	1.33708153870459	8.65240020763146	4.24382297642294e-17	2.45212133313885e-15	28.1521489361675
EFNB1	0.231851169307233	3.63753821756804	8.64887033662676	4.36271489215579e-17	2.50887120859802e-15	28.1251101191191
LMAN2L	0.198851679134031	3.88983892232964	8.64355712269216	4.54790867334068e-17	2.60303414350546e-15	28.0819510098996
SUSD5	-0.199966601135959	4.91252747682233	-8.64049366630912	4.65819715172194e-17	2.65364151356779e-15	28.0588535612727
MAP3K2	0.107044773555763	6.7815037217616	8.63824476519825	4.74083977084914e-17	2.68810045698521e-15	28.0441024211006
EEF1G	0.14158823949145	8.14357333352848	8.63393009094702	4.90347477656948e-17	2.76738432273926e-15	28.0113222849456
PPME1	-0.135204573363709	6.69614043186006	-8.62356385036173	5.31710661337147e-17	2.98693387253007e-15	27.9325649039544
ATP2B2	-0.282537812578232	10.0636356944852	-8.62203905536394	5.38079069407169e-17	3.00877945999382e-15	27.9192350140586
PCDHGB6	0.229099668415814	4.24542781552441	8.6155372760657	5.66091257832868e-17	3.15054484051028e-15	27.8691622114127
NRN1	-0.255836325658243	6.97506235686388	-8.61496500214196	5.68624789905843e-17	3.15054484051028e-15	27.8670809847899
RBM14	0.159221268863199	5.70363351187744	8.61291892008446	5.77775095168117e-17	3.17986294547752e-15	27.8505525200702
CANX	0.0902396122310453	9.17441802788833	8.6126125917794	5.79157500371298e-17	3.17986294547752e-15	27.8493741269931
SFMBT2	0.198806960190093	5.92730990148169	8.60564507273134	6.11498852751857e-17	3.34230949517614e-15	27.792913202906
SCN8A	-0.199884670301027	8.92666857591823	-8.59442005911502	6.6739671172018e-17	3.63147609866039e-15	27.7115331507172
RGS4	-0.287301439616547	9.17895434277065	-8.59274268623805	6.76172470009382e-17	3.65634341757282e-15	27.6991349415842
KIF3A	-0.137241943984525	8.18935750434077	-8.59182784254312	6.81006768066142e-17	3.65634341757282e-15	27.6923146581101
FAM58A	-0.14784267727316	4.33083610970267	-8.59211051318873	6.7950941850242e-17	3.65634341757282e-15	27.6899039332692
PLXDC2	0.263041791107206	6.6963964286244	8.5880858311092	7.01138885717928e-17	3.74784988515477e-15	27.660417006784
CPLX1	-0.319370333962429	6.83513364371126	-8.58567858680858	7.14399745459707e-17	3.80198531202109e-15	27.6427020907587
PINK1	-0.114751448762135	8.68892421611065	-8.57588772397386	7.70938084639994e-17	4.08496188603567e-15	27.5692800729675
